px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0.1	0.1	0.1	8.46292	0.243462	8.6	0.25	-3.00029	0	6.9533e-310
8.4483	0.251354	-0.130318	0.105028	0.1	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000164057
8.47074	0.25055	-0.0853914	0.110257	0.1	8.56759	0.241943	8.45	0.25	0	0	0.125361
8.46293	0.251668	-0.0880326	0.114686	0.0999957	8.45582	0.253997	8.45	0.25	0	0	0.00449833
8.37149	0.241226	-1.09843	0.130518	0.099813	8.42544	0.254042	8.35	0.25	-1.81979	0	15.644
8.30731	0.240192	-1.12014	0.105612	0.0992862	8.23962	0.24916	8.25	0.25	-1.81978	0	0.315862
8.1001	0.230833	-1.4755	-0.146268	0.092749	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	16.2298
8.002	0.198466	-1.53323	0.113077	0.0984095	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.76714
7.8238	0.225354	-1.96433	-0.300551	0.0842596	7.61269	0.155818	7.7	0.15	-2.99982	0	12.9346
7.70303	0.182518	-2.03081	0.020059	0.0943706	7.54016	0.159641	7.55	0.15	-2.99982	0	1.72027
7.58933	0.146945	-2.13458	0.144017	0.0988018	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.511198
7.45597	0.0710741	-2.18284	0.315721	0.106329	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.901289
7.29183	0.112849	-2.48768	0.0811371	0.0552002	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	3.50541
7.13728	0.0218342	-2.56207	0.220694	0.068982	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.91087
7.03418	-0.0773164	-2.3144	0.350954	0.126123	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.50656
6.9042	-0.181959	-2.37134	0.436095	0.145886	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.63257
6.79378	-0.262371	-2.3929	0.480706	0.162491	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.440137
6.68069	-0.370148	-2.45288	0.544463	0.186891	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.670506
6.63867	-0.52121	-2.2075	0.738387	0.473329	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	8.65192
6.55893	-0.613265	-2.22824	0.778504	0.48441	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.0911915
6.51787	-0.784886	-2.13806	0.991221	0.812865	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	6.64228
6.45595	-0.931768	-2.21608	1.07569	0.845156	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.904318
6.3681	-1.01444	-2.24163	1.01042	0.615456	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	3.07399
6.29471	-1.15388	-2.32063	1.06039	0.624316	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.646086
6.37173	-1.41591	-2.35261	1.5148	1.37863	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	36.632
6.36718	-1.57302	-2.41959	1.60223	1.38635	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.416702
6.32279	-1.6276	-2.15054	1.51147	1.09423	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	7.65356
6.30213	-1.7839	-2.271	1.56103	1.07301	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	1.78228
6.34703	-1.97454	-2.54218	1.73311	1.26844	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	7.93561
6.36302	-2.13037	-2.61875	1.78937	1.25273	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.686926
6.35665	-2.25007	-2.45425	1.78674	1.13425	6.32593	-2.40018	6.35	-2.4	0	-2.72613	3.76231
6.37524	-2.42127	-2.54773	1.83042	1.10613	6.34927	-2.55175	6.35	-2.55	0	-2.72611	1.03835
6.42164	-2.58755	-2.67241	1.90003	1.12234	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.915323
6.45954	-2.7547	-2.73642	1.943	1.0987	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.507436
6.47482	-2.86713	-2.55861	1.95432	1.03208	6.46536	-3.00452	6.45	-3	0	-2.99754	3.20076
6.50069	-3.0278	-2.6413	1.97298	0.994324	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.11629
6.55714	-3.18609	-2.72583	2.01863	0.987001	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.600981
6.60171	-3.35708	-2.79008	2.04214	0.953973	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0.817634
6.68312	-3.52128	-2.94101	2.0954	0.961465	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.08869
6.76037	-3.6832	-2.98131	2.13398	0.945764	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.303549
6.8257	-3.80867	-2.81828	2.16839	0.919893	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.81362
6.89701	-3.96883	-2.86317	2.19314	0.893185	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0.581688
6.96275	-4.08749	-2.71428	2.22457	0.870296	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.58778
7.02473	-4.24509	-2.75413	2.23622	0.834086	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	1.0324
7.07361	-4.3327	-2.40712	2.26273	0.805266	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	6.58523
7.12965	-4.46736	-2.43123	2.27416	0.772927	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.901522
7.20332	-4.57519	-2.39754	2.30444	0.759973	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0.437013
7.25528	-4.72337	-2.43239	2.30011	0.714208	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	1.86505
7.36714	-4.87029	-2.71329	2.32898	0.707954	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.82948
7.42934	-5.02657	-2.73593	2.3199	0.660281	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	1.93597
7.50589	-5.13778	-2.64043	2.33895	0.641606	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.20325
7.56478	-5.29966	-2.66965	2.32036	0.587442	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	2.29081
7.65599	-5.41829	-2.65081	2.34	0.574003	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.584185
7.72714	-5.56258	-2.66854	2.33316	0.535434	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.105
7.80483	-5.6683	-2.57997	2.34812	0.520023	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.952311
7.8596	-5.82232	-2.59649	2.3237	0.467011	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.04043
7.98412	-5.96745	-2.9831	2.34173	0.466393	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	7.78193
8.05199	-6.12158	-3.00125	2.31998	0.421031	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.47777
8.14341	-6.2387	-2.85405	2.33083	0.406289	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.78942
8.22602	-6.38231	-2.86318	2.32323	0.376148	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.602103
8.30607	-6.48938	-2.73529	2.33165	0.362689	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.2684
8.36681	-6.64488	-2.74537	2.3046	0.315704	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.4742
8.45637	-6.76059	-2.7396	2.31337	0.30723	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.44509
8.52813	-6.89967	-2.74205	2.29973	0.276908	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.648169
8.60145	-6.99973	-2.68311	2.30431	0.267208	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.607789
8.65191	-7.143	-2.69488	2.27482	0.224662	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.3061
8.76707	-7.28304	-2.98584	2.28524	0.227426	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	4.75958
8.8281	-7.43882	-3.00088	2.25561	0.186516	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.20797
8.8886	-7.54318	-2.67959	2.24846	0.164249	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	6.00485
8.94475	-7.69025	-2.68445	2.22248	0.12939	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.880488
9.02606	-7.80913	-2.74986	2.22393	0.125329	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.453229
9.06935	-7.95656	-2.76013	2.19035	0.0857459	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.16706
9.10818	-8.04908	-2.45074	2.17685	0.0626993	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	5.37997
9.15184	-8.1878	-2.45742	2.14912	0.0319277	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.725286
9.23349	-8.31586	-2.62176	2.15055	0.0343615	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.51672
9.26468	-8.46371	-2.63809	2.11196	-0.00528988	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.21641
9.30793	-8.57103	-2.42415	2.09518	-0.0261353	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	2.70389
9.34085	-8.71393	-2.43533	2.06207	-0.0571508	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.746907
9.47766	-8.90676	-3.16158	2.09131	-0.00999479	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	28.4111
9.52443	-9.07676	-3.18496	2.05808	-0.0422286	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.747448
9.55776	-9.19204	-2.90614	2.03175	-0.0744447	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	4.67201
9.60143	-9.33491	-2.91084	2.01086	-0.0914139	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.236139
9.63518	-9.44846	-2.74513	1.99113	-0.11093	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.84382
9.65252	-9.60186	-2.76352	1.95226	-0.143741	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.825457
9.71577	-9.74877	-2.88256	1.95006	-0.135396	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0.925677
9.73669	-9.90356	-2.89671	1.91677	-0.161448	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.562505
9.75431	-10.0252	-2.66131	1.88616	-0.190755	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.46218
9.78621	-10.1628	-2.65256	1.86865	-0.197603	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.155014
9.82816	-10.2974	-2.66613	1.85845	-0.198042	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.458045
9.83614	-10.4443	-2.6845	1.82476	-0.221236	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.456506
9.87726	-10.596	-2.77905	1.8184	-0.211495	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.994728
9.8979	-10.7508	-2.78411	1.79507	-0.22288	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.13353
9.90999	-10.881	-2.61936	1.76607	-0.246149	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.66805
9.91086	-11.0341	-2.63188	1.73308	-0.265058	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.339435
9.93023	-11.1673	-2.65799	1.71998	-0.263673	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.109375
9.92042	-11.3179	-2.68526	1.68393	-0.285917	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.414471
9.93524	-11.459	-2.71791	1.67001	-0.284303	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.128382
9.91719	-11.6109	-2.74334	1.63256	-0.306899	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.468791
9.87227	-11.6989	-2.34526	1.5628	-0.384102	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	13.0545
9.83936	-11.8309	-2.37168	1.52067	-0.406308	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.499755
9.82926	-11.9521	-2.39274	1.49964	-0.405713	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.152076
9.77487	-12.1002	-2.45022	1.44503	-0.438919	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	1.06683
9.73384	-12.2031	-2.28151	1.39027	-0.484915	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	3.60879
9.67124	-12.3337	-2.32647	1.33622	-0.513501	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.910016
9.59718	-12.4045	-2.05665	1.2494	-0.596596	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	9.13964
9.51237	-12.5265	-2.1255	1.18297	-0.631334	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	1.41219
9.45805	-12.6326	-2.10882	1.13857	-0.643457	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.192172
9.36077	-12.7562	-2.17577	1.07085	-0.673806	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	1.15889
9.23939	-12.8045	-1.89281	0.921832	-0.829407	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	21.4489
9.09257	-12.9206	-2.05032	0.824178	-0.88103	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	3.88144
8.97044	-12.9879	-2.02173	0.71487	-0.959584	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.14305
8.82985	-13.0725	-2.11492	0.629613	-0.988705	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	1.65387
8.68629	-13.1244	-2.16373	0.505115	-1.08707	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.54572
8.53197	-13.1879	-2.27592	0.422054	-1.11133	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.82884
8.33218	-13.2224	-2.45005	0.263723	-1.23972	8.22926	-13.1698	8.2	-13.15	-2.72741	0	9.09162
8.16441	-13.2448	-2.50621	0.174336	-1.25772	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.36792
7.99697	-13.2515	-2.58729	0.0754802	-1.2948	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.42385
7.83716	-13.2452	-2.61092	-0.00866353	-1.30579	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.618164
7.7816	-13.2626	-2.3096	-0.0136052	-1.21871	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	7.51249
7.61016	-13.2698	-2.43302	-0.0746441	-1.21333	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.58137
7.46761	-13.2491	-2.44678	-0.146412	-1.21667	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.877446
7.28776	-13.2385	-2.55154	-0.204919	-1.2049	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.995079
7.11681	-13.1807	-2.76086	-0.295847	-1.24757	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.80399
6.94874	-13.1474	-2.83889	-0.347347	-1.23462	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.610237
6.8135	-13.1028	-2.77695	-0.40433	-1.21994	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.425713
6.64101	-13.0518	-2.8431	-0.455882	-1.20346	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.457776
6.55745	-13.0256	-2.45091	-0.490137	-1.14979	6.40137	-13.0799	6.4	-13.05	-2.72678	0	8.84633
6.38455	-12.9884	-2.54537	-0.519007	-1.11568	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.24971
6.27419	-12.9317	-2.44141	-0.569957	-1.10013	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.883051
6.09577	-12.8872	-2.54371	-0.588659	-1.05923	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.77156
5.93926	-12.7765	-2.90649	-0.654244	-1.08697	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.81658
5.77492	-12.7051	-2.978	-0.677371	-1.05614	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.03675
5.68388	-12.6463	-2.61478	-0.712519	-1.01685	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	7.92534
5.53244	-12.5773	-2.66335	-0.733884	-0.983736	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.922094
5.40393	-12.4604	-2.81411	-0.789164	-0.989437	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.11383
5.24343	-12.3804	-2.86316	-0.801445	-0.948953	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	1.30851
5.14431	-12.287	-2.73786	-0.843837	-0.9356	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.932604
5.00919	-12.1938	-2.76784	-0.866023	-0.907368	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.607148
4.9115	-12.0796	-2.80553	-0.909691	-0.905748	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.388078
4.80345	-11.9894	-2.81202	-0.932055	-0.883962	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.475819
4.70838	-11.8595	-2.85952	-0.979638	-0.883991	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.141563
4.62877	-11.7294	-2.85136	-1.03003	-0.885941	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0244002
4.58327	-11.6309	-2.54865	-1.08174	-0.885569	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	4.19078
4.52574	-11.5168	-2.5294	-1.12923	-0.885117	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.185128
4.40487	-11.3188	-3.21007	-1.15561	-0.869533	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	22.5162
4.37151	-11.1625	-3.19864	-1.21916	-0.889706	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.310437
4.37641	-11.056	-2.6903	-1.29602	-0.920248	4.43713	-11.024	4.45	-11.05	0	1.81614	12.7582
4.37043	-10.9105	-2.67399	-1.36666	-0.94069	4.45136	-10.93	4.45	-10.95	0	1.81612	0.415571
4.3482	-10.7641	-2.68989	-1.42079	-0.942831	4.44745	-10.786	4.45	-10.8	0	2.72555	0.115781
4.36382	-10.6166	-2.67729	-1.49514	-0.965662	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.570737
4.36132	-10.4735	-2.67622	-1.55015	-0.967623	4.46329	-10.5756	4.45	-10.5	0	2.729	0.234519
