px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0.1	0.1	0.1	0	0	0	0	0	0	4.94066e-324
0.026677	-0.0276415	0.1	0.1	0.1	0	0	0	0	0	0	1.76401
1.55717	-0.123685	1.83379	0.15698	0.0967524	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.228028
1.62806	0.02139	2.40685	0.0842702	0.0833801	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.38364
3.88276	-0.124063	3.14407	-0.682099	-0.197721	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.70474
3.95218	0.0759131	3.14229	-0.457853	-0.124538	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	3.85349
6.85088	0.407933	3.26873	0.314027	0.345111	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.31352
6.75923	0.440861	3.0186	0.385702	0.466219	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.72838
9.07492	0.603805	2.77633	0.0963116	-0.00124383	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.605779
9.0386	0.670092	2.6923	0.133208	0.0217059	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.14458
11.5706	1.65895	3.27992	0.529765	0.263767	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.300899
11.5367	1.6254	2.93416	0.542605	0.311843	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.636667
13.5915	2.32198	2.27739	0.337269	-0.0140056	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.455143
13.6199	2.29808	2.59766	0.298045	-0.0628141	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.883862
16.6289	2.90371	4.03548	0.0300927	-0.192309	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.729042
16.5395	2.88069	3.13078	-0.0238347	-0.276994	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.93888
19.012	3.69471	2.83631	0.365446	0.144949	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.63178
19.0786	3.71729	2.71904	0.408181	0.184017	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.35788
21.3268	4.73308	3.04009	0.451165	0.0930808	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.0618431
21.3808	4.74268	3.05105	0.441906	0.0932011	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.764043
24.0708	5.57206	3.53276	0.202447	-0.117049	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.238395
24.1627	5.59788	3.33989	0.171986	-0.142162	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.08144
26.6088	6.95243	3.13994	0.606788	0.224464	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.459317
26.5964	6.94653	3.27469	0.590298	0.202115	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0740519
29.5746	8.0907	3.84873	0.254278	-0.146596	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.592171
29.5421	8.07385	3.32247	0.23281	-0.169667	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.62534
31.9454	9.86878	3.22114	0.807718	0.305927	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.756334
31.9012	9.84632	3.27193	0.785807	0.27856	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.67889
34.6065	10.7112	2.58749	0.190744	-0.28867	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.29669
34.7141	10.7625	3.06254	0.183718	-0.269985	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.66189
37.1414	12.0769	3.09494	0.593001	0.161556	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.626851
37.2186	12.1027	3.27742	0.593648	0.156739	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.47797
40.3148	13.4669	4.20398	0.289781	-0.142532	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.623484
40.2265	13.4286	3.31829	0.242817	-0.192506	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	2.08613
42.7685	14.8211	3.30068	0.577917	0.14658	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.384327
42.7438	14.8146	3.33426	0.571167	0.138321	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.187172
45.3507	16.5508	3.89563	0.584895	0.0572854	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.125738
45.3832	16.5617	3.48002	0.607427	0.130466	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	1.05648
48.1508	17.2912	3.13686	0.15428	-0.240078	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.491434
48.1242	17.2822	2.97768	0.145351	-0.255719	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.195029
50.6208	19.0544	3.21147	0.873781	0.377528	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.42493
50.6006	19.0396	3.33314	0.828695	0.318932	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.234393
53.7118	19.9125	2.76944	0.0838298	-0.38065	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.13771
53.6809	19.912	2.87544	0.123451	-0.323825	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.405634
56.0328	21.0778	2.82903	0.546262	0.157632	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0.861636
56.0009	21.0638	2.83685	0.529014	0.141116	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.322864
58.6532	21.7887	3.25072	0.118718	-0.215675	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.515584
58.6494	21.7857	3.09011	0.0969948	-0.24418	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0466565
60.8772	22.7777	2.5785	0.446972	0.137826	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.583309
60.8579	22.7655	2.76741	0.416094	0.109181	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.295024
63.3756	23.4115	3.12888	0.166553	-0.120994	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.223356
63.453	23.4365	2.78342	0.119315	-0.177929	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.16606
66.3299	23.989	3.7654	0.243675	0.015685	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.43804
66.2135	23.9533	2.62402	0.255034	-0.0238554	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.17443
68.2629	24.3588	2.52976	0.213162	-0.0353001	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.00331297
68.3504	24.3904	2.66567	0.220765	-0.0305843	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98775
70.8222	24.8824	3.18517	0.2173	-0.0131216	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.0883601
70.7784	24.8649	2.48978	0.208868	-0.045085	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.693395
72.8916	24.7195	2.48399	-0.144439	-0.237934	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.124655
72.941	24.7363	2.51915	-0.143994	-0.24521	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.680467
74.9998	25.2459	2.24716	0.332694	0.201452	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.753417
74.9841	25.2435	2.16615	0.330563	0.201596	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0442746
77.1144	24.9481	2.30942	-0.37168	-0.359157	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.04517
77.1372	24.953	2.24123	-0.399635	-0.397312	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.18654
79.0985	25.016	1.89651	0.082974	0.162639	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.43249
79.1085	25.0194	1.90484	0.0869757	0.16473	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0286219
80.8056	24.8753	2.06833	-0.0344098	-0.0118694	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.109752
80.8484	24.8818	1.79927	-0.0754237	-0.0867733	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.22161
82.6149	24.6375	2.39391	-0.103865	-0.0499512	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.103251
82.5667	24.6189	1.97672	-0.210584	-0.234665	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.769003
84.1699	24.5411	1.97491	-0.0144675	0.0236603	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.260718
84.16	24.5449	1.79185	-0.0367296	-0.0263493	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.212469
85.6385	23.8191	1.86274	-0.527861	-0.307475	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.276188
85.6968	23.8348	1.96893	-0.510468	-0.295824	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.840797
86.9419	23.5115	1.22077	-0.284413	0.014242	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.596831
87.0639	23.5448	1.37054	-0.224778	0.0478839	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.80382
88.8106	22.7952	2.69545	-0.443118	-0.113766	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.529919
88.7174	22.7501	2.38864	-0.696639	-0.436993	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.59173
89.5045	22.286	0.222651	-0.723251	-0.207998	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	1.42773
89.6231	22.2438	0.914834	-0.701703	-0.160094	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	3.61016
90.4953	21.6568	1.49695	-0.478332	0.0800695	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.317571
90.5656	21.6734	1.5231	-0.422998	0.0820415	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.8004
91.7141	21.1126	1.69307	-0.224398	0.1466	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0318933
91.7409	21.13	1.44184	-0.38598	-0.0758388	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.66266
92.8546	20.9428	1.42597	-0.0634735	0.159245	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.216821
92.901	20.969	1.16048	-0.0216575	0.128132	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.80175
